Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 6:0	Negative	Sorrow	Moderate	O LORD, do not rebuke me in Your anger; do not discipline me in Your wrath.	David is pleading with God to not correct him while God is angry, as it may be too harsh.
Psalm 6:1	Negative	Sorrow	Moderate	Be merciful to me, O LORD, for I am faint; heal me, O LORD, for my bones are in agony.	David acknowledges his weakness and asks for God's mercy, implying his condition is not just spiritual but also physical.
Psalm 6:2	Negative	Fear	High	My soul is deeply troubled. How long, O LORD, how long?	David is experiencing deep emotional turmoil and seeks to know how long it will last, indicating a sense of urgency.
Psalm 6:3	Negative	Sadness	High	Turn, O LORD, and deliver me; save me because of Your loving devotion.	David is pleading for deliverance, relying on God's steadfast love and mercy.
Psalm 6:4	Neutral	Anticipation	Low	I am worn out from groaning; all night I flood my bed with weeping and drench my couch with tears.	David expresses the extent of his sorrow, showing that his grief is continual and overwhelming.
Psalm 6:5	Negative	Sorrow	Moderate	My eyes fail from grief; they grow dim because of all my foes.	David speaks of his physical exhaustion from grief, which is compounded by the presence of enemies.
Psalm 6:6	Negative	Anger	Low	Away from me, all you who do evil, for the LORD has heard my weeping.	David warns his adversaries, showing confidence that God has heard his cries.
Psalm 6:7	Positive	Relief	Moderate	The LORD has heard my cry for mercy; the LORD accepts my prayer.	David affirms that God has listened and accepted his cries for help, signaling a turning point in the psalm.
Psalm 6:8	Neutral	Anticipation	Low	All my enemies will be ashamed and dismayed; they will turn back in sudden disgrace.	David predicts that his enemies will face shame and defeat, anticipating God’s justice.
Psalm 6:9	Negative	Sorrow	Moderate	O LORD, do not rebuke me in Your anger; do not discipline me in Your wrath.	David reiterates his request for God's merciful correction rather than rebuke in anger.
Psalm 6:10	Negative	Sorrow	Moderate	Be merciful to me, O LORD, for I am faint; heal me, O LORD, for my bones are in agony.	David repeats his plea for mercy and healing, emphasizing his frailty and pain.
