Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 16:1	Positive	Supplication	Low	"Preserve me, O God, for in You I take refuge."	David seeks God's protection, expressing trust and dependency.
Psalm 16:2	Positive	Declaration	Medium	"I said to the LORD, 'You are my Lord; apart from You I have no good thing.'"	Acknowledgment of the LORD's sovereignty and the source of all goodness.
Psalm 16:3	Positive	Admiration	Low	"As for the saints in the land, they are the glorious ones in whom is all my delight."	Affirmation of the value and joy found in the fellowship of the saints.
Psalm 16:4	Negative	Warning	Medium	"The sorrows of those will increase who run after other gods. I will not pour out their libations of blood or speak their names with my lips."	Warning against idolatry and a commitment to not partake in its practices.
Psalm 16:5	Positive	Contentment	Medium	"LORD, You alone are my portion and my cup; You make my lot secure."	Declaration of contentment in God's provision and protection.
Psalm 16:6	Positive	Satisfaction	High	"The boundary lines have fallen for me in pleasant places; surely I have a delightful inheritance."	Gratitude for the favorable conditions and blessings provided by God.
Psalm 16:7	Positive	Thankfulness	Medium	"I will bless the LORD who counsels me; even at night my heart instructs me."	Appreciation for God's guidance and the internalization of His principles.
Psalm 16:8	Positive	Confidence	High	"I have set the LORD always before me. Because He is at my right hand, I will not be shaken."	Expression of steadfast trust in God's presence and support.
Psalm 16:9	Positive	Joy	High	"Therefore my heart is glad and my glory rejoices; my flesh also will dwell securely."	Jubilation in the security and happiness that comes from trusting God.
Psalm 16:10	Positive	Hope	Medium	"For You will not abandon my soul to Sheol, nor will You let Your Holy One see decay."	Hope in the promise of resurrection and eternal life, a prophetic reference to Christ.
Psalm 16:11	Positive	Revelation	High	"You make known to me the path of life; in Your presence there is fullness of joy; at Your right hand there are pleasures forevermore."	Proclamation of the joy and fulfillment found in God's guidance and eternal presence.
