Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 47:0	Positive	Joy	Medium	Clap your hands, all you nations; shout to God with cries of joy.	The psalm opens with a universal call to praise, inviting all nations to express their joy for God’s sovereignty.
Psalm 47:1	Positive	Joy	High	For the LORD Most High is awesome, the great King over all the earth.	Recognition of God's supreme authority and power over the earth, a reason for reverence and joy.
Psalm 47:2	Positive	Triumphant	Medium	He subdued nations under us, peoples under our feet.	A celebratory acknowledgment of God's victory and favor to His people, leading to triumph over enemies.
Psalm 47:3	Positive	Praise	High	He chose our inheritance for us, the pride of Jacob, whom He loved.	Exudes gratitude for God's provision and special affection for Jacob (Israel), indicating chosenness and favor.
Psalm 47:4	Positive	Joy	Medium	God has ascended amid shouts of joy, the LORD amid the sounding of trumpets.	Portrays God's ascension as a king amidst celebration, indicating divine victory and cause for exuberant praise.
Psalm 47:5	Positive	Praise	Medium	Sing praises to God, sing praises; sing praises to our King, sing praises.	A call to repeated and intentional praise, emphasizing the importance of worshiping God as king.
Psalm 47:6	Positive	Praise	High	For God is the King of all the earth; sing to Him a psalm of praise.	A direct statement of God's sovereignty over the earth, inviting the creation of psalms that honor Him.
Psalm 47:7	Neutral	Observant	Low	God reigns over the nations; God is seated on His holy throne.	Descriptive assertion of God's reigning position over all nations, denoting stability and authority.
Psalm 47:8	Positive	Praise	Medium	The nobles of the nations assemble as the people of the God of Abraham, for the kings of the earth belong to God; He is greatly exalted.	Reflects unity as leaders gather before God, acknowledging His ownership and exalted status over all rulers.
Psalm 47:9	Positive	Reverence	Medium	He chooses our inheritance, the glory of Jacob, whom He loved. Selah	A reiteration of God's selective grace toward Jacob, calling for reflective pause (Selah) to contemplate.
