Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 31:0	Neutral	None	Low	For the choirmaster. A Psalm of David.	This introductory notation is often not translated as a verse but provides instructions for the use of the psalm in worship and its attribution to David.
Psalm 31:1	Positive	Trust	Medium	In You, O LORD, I take refuge; let me never be put to shame; save me by Your righteousness.	David expresses trust in God as his refuge and pleads for deliverance in a way that will not bring shame upon him.
Psalm 31:2	Positive	Request	Low	Incline Your ear to me; come quickly to my rescue. Be my rock of refuge, a fortress of defense to save me.	The psalmist intensifies his plea for help and protection, invoking God as a stronghold.
Psalm 31:3	Positive	Request	Medium	For You are my rock and my fortress; lead me and guide me for the sake of Your name.	Acknowledging God's protective nature, the psalmist asks for guidance based on God's reputation and character.
Psalm 31:4	Positive	Promise	Low	You will free me from the net they have secretly laid for me, for You are my stronghold.	The speaker shows confidence that God will release him from the traps of his enemies, recognizing God as a secure fortress.
Psalm 31:5	Positive	Trust	High	Into Your hands I commit my spirit; You have redeemed me, O LORD, God of truth.	A profound declaration of trust and surrender to God's care, acknowledging God's redemptive and truthful nature.
Psalm 31:6	Negative	Distaste	Medium	I hate those who cling to worthless idols, but in the LORD I trust.	The psalmist expresses disdain for idolaters in contrast to his steadfast trust in God.
Psalm 31:7	Positive	Joy	Medium	I will rejoice and be glad in Your loving devotion, for You have seen my affliction; You have known the anguish of my soul.	Despite his troubles, the speaker expresses joy and gratitude for God's awareness and loving care.
Psalm 31:8	Positive	Gratitude	High	You have not delivered me to the enemy but have set my feet in a spacious place.	Grateful for God's protection, the psalmist feels rescued and placed in a position of freedom.
Psalm 31:9	Negative	Despair	High	Be merciful to me, O LORD, for I am in distress; my eyes fail from sorrow, my soul and body as well.	Describing his deep sorrow and suffering, the psalmist pleads for God's mercy.
Psalm 31:10	Negative	Sadness	High	For my life is consumed with grief, and my years with groaning; my strength fails because of my iniquity, and my bones waste away.	The speaker shares the heavy toll his affliction and sins have on his physical and mental well-being.
Psalm 31:11	Negative	Rejection	High	Because of all my enemies, I am the utter contempt of my neighbors; I am a dread to my friends—those who see me on the street flee from me.	He laments being scorned and abandoned by those around him due to his adversities.
Psalm 31:12	Negative	Neglect	Low	I am forgotten like a dead man, out of mind; I am like a broken vessel.	The psalmist feels profoundly ignored and discarded, equating his worth to that of a shattered and useless vessel.
Psalm 31:13	Negative	Fear	High	For I have heard the slander of many; terror is on every side, as they conspire against me and plot to take my life.	He expresses fear as he's aware of the threats and conspiracies surrounding him.
Psalm 31:14	Positive	Trust	High	But I trust in You, O LORD; I say, “You are my God.”	Despite the surrounding dangers, the psalmist reaffirms his trust in God, acknowledging Him as his sovereign.
Psalm 31:15	Positive	Faith	Medium	My times are in Your hands; deliver me from my enemies and from those who pursue me.	He shows faith by surrendering his fate to God and seeks deliverance from his adversaries.
Psalm 31:16	Positive	Request	Low	Let Your face shine on Your servant; save me by Your loving devotion.	The speaker asks for God's favor and salvation, relying on God's steadfast love.
Psalm 31:17	Negative	Anxiety	Medium	Let me not be put to shame, O LORD, for I have called on You. Let the wicked be put to shame; let them be silent in Sheol.	He seeks assurance against disgrace, having called upon God, and prays for the wicked's demise.
Psalm 31:18	Negative	Anger	Medium	Let lying lips be silent, which speak with contempt against the righteous, full of pride and scorn.	The psalmist asks for the silencing of liars who disrespect and mock the righteous arrogantly.
Psalm 31:19	Positive	Joy	High	How great is Your goodness, which You have stored up for those who fear You, which You bestow in the sight of men on those who take refuge in You.	The speaker praises God for the abundant goodness reserved for those who revere Him and seek His shelter.
Psalm 31:20	Positive	Peace	Medium	You hide them in the secret place of Your presence from the conspiracies of man; You shelter them in Your tabernacle from accusing tongues.	Celebrating God's protection, the speaker describes God as a sanctuary against human plots and slander.
Psalm 31:21	Positive	Gratitude	High	Blessed be the LORD, for He has shown His marvelous loving devotion to me in a besieged city.	Expressing gratitude for God's demonstrations of love even in desperate situations.
Psalm 31:22	Negative	Fear	Medium	In my alarm I said, “I am cut off from Your sight!” But You heard the voice of my pleas for mercy when I cried to You for help.	The speaker confesses that he once feared God had abandoned him, but acknowledges God heard his appeals.
Psalm 31:23	Positive	Encouragement	High	 Love the LORD, all His saints. The LORD preserves the faithful, but fully repays the arrogant.	The psalmist encourages love for God, affirming that God protects the faithful while repaying the proud.
Psalm 31:24	Positive	Hope	Medium	Be strong and courageous, all you who hope in the LORD.	An exhortation to stay resilient and courageous to those who place their hope in God.
Psalm 31:25	Neutral	None	Low	[Excluded by Bible translation conventions]	Verses beyond the standard psalm numbering are sometimes excluded, or the content may have been incorporated into earlier verses as per various translation methodologies.
