Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 25:1	Positive	Trust	Medium	To You, O LORD, I lift up my soul.	A psalm of David expressing trust in God and a request for guidance and forgiveness.
Psalm 25:2	Positive	Trust	Medium	In You, my God, I trust; let me not be put to shame, nor let my enemies triumph over me.	Expressing trust in God, a plea to be saved from shame and the joy of victory over enemies.
Psalm 25:3	Positive	Hope	Medium	Indeed, none who wait for You will be put to shame; those who act treacherously without cause will be ashamed.	Affirmation that those who trust in God will not be disgraced, while the treacherous will be.
Psalm 25:4	Neutral	Curiosity	Low	Show me Your ways, O LORD; teach me Your paths.	A prayer asking for God's guidance and instruction.
Psalm 25:5	Positive	Trust	Low	Guide me in Your truth and teach me, for You are the God of my salvation; all day long I wait for You.	Expressing dependence on God's guidance and instruction, with an acknowledgement of God as savior.
Psalm 25:6	Positive	Anticipation	Low	Remember, O LORD, Your compassion and loving devotion, for they are from of old.	Reminding God of His eternal compassion and mercy.
Psalm 25:7	Positive	Plea	Medium	Do not remember the sins of my youth or my rebellious acts; according to Your loving devotion remember me, for You are good, O LORD.	A plea for mercy regarding past sins; a request to be remembered according to God's goodness.
Psalm 25:8	Positive	Praise	Low	Good and upright is the LORD; therefore He instructs sinners in His ways.	Acknowledging God's goodness and fairness, and His guidance even for sinners.
Psalm 25:9	Positive	Trust	Low	He guides the humble in justice and teaches the humble His way.	Describing how God leads the humble in a just path and imparts wisdom.
Psalm 25:10	Positive	Trust	Low	All the LORD's paths are loving devotion and truth to those who keep His covenant and His testimonies.	Emphasizing that God's ways are defined by steadfast love and faithfulness for those who follow His commands.
Psalm 25:11	Positive	Plea	Medium	For the sake of Your name, O LORD, forgive my iniquity, for it is great.	Asking for forgiveness based on God’s own reputation and the greatness of the psalmist's sin.
Psalm 25:12	Positive	Assurance	Low	Who, then, is the man who fears the LORD? He will instruct him in the way he should choose.	Reflection on the benefits for one who reveres God, implying guidance in life's decisions.
Psalm 25:13	Positive	Assurance	Low	He will dwell in prosperity, and his descendants will inherit the land.	Assuring that those who fear the LORD will live well, and their offspring will benefit.
Psalm 25:14	Positive	Intimacy	Low	The LORD confides in those who fear Him; He makes His covenant known to them.	Speaking of a close relationship between God and those who hold Him in awe, including revealing His covenant.
Psalm 25:15	Positive	Reliance	Low	My eyes are always on the LORD, for He will free my feet from the snare.	Expressing constant focus on the LORD, with an expectation of being saved from traps.
Psalm 25:16	Positive	Plea	Medium	Turn to me and be gracious to me, for I am lonely and afflicted.	A personal request for God’s attention and mercy in times of loneliness and distress.
Psalm 25:17	Neutral	Anguish	Low	Relieve the troubles of my heart, and bring me out of my distress.	Pleading with God to ease emotional pain and rescue from difficult circumstances.
Psalm 25:18	Neutral	Observation	Low	Look upon my affliction and my distress, and take away all my sins.	Asking God to acknowledge personal suffering and to forgive sins.
Psalm 25:19	Negative	Fear	Medium	Consider my enemies, for they are numerous, and they hate me with vicious hatred.	Observing the large number of enemies and the intensity of their hatred.
Psalm 25:20	Positive	Plea	Medium	Guard my soul and deliver me; let me not be put to shame, for I take refuge in You.	Pleading for protection and salvation, underscoring trust in God as a refuge.
Psalm 25:21	Positive	Trust	Medium	May integrity and uprightness protect me, because I wait for You.	Expressing hope that a life of integrity and uprightness will provide protection while waiting on God.
Psalm 25:22	Positive	Request	Low	Redeem Israel, O God, out of all their troubles.	Asking God to save Israel from its troubles, extending the personal pleas to the community/nation.
