Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 106:1	Positive	Joy	Medium	Praise the LORD. Give thanks to the LORD, for He is good; His loving devotion endures forever.	The psalm begins with a call to praise and thanksgiving, recognizing God's enduring goodness and faithful love.
Psalm 106:2	Positive	Wonder	Medium	Who can describe the mighty acts of the LORD or fully proclaim His praise?	This verse reflects on the infinite nature of God's deeds and the challenge of fully articulating His greatness.
Psalm 106:3	Positive	Joy	Medium	Blessed are those who uphold justice, who practice righteousness at all times.	The psalmist declares a blessing on those who live righteously and maintain justice, implying these are attributes valued by God.
Psalm 106:4	Positive	Supplication	Low	Remember me, O LORD, in Your favor toward Your people. Visit me with Your salvation,	The psalmist requests God's remembrance and salvation, appealing to God's favor toward His people.
Psalm 106:5	Positive	Desire	Medium	That I may see the prosperity of Your chosen ones, that I may rejoice in the joy of Your nation, that I may boast with Your inheritance.	Expresses a desire to witness and participate in the blessings of God's people, sharing in their collective joy.
Psalm 106:6	Negative	Confession	High	We have sinned like our fathers; we have done wrong and acted wickedly.	The psalmist acknowledges generational sin, confessing corporate wrongdoing and a departure from God's ways.
Psalm 106:7	Negative	Regret	High	Our fathers in Egypt did not grasp Your wonders; they did not remember Your abundant kindnesses but rebelled by the sea, at the Red Sea.	The verse recalls the Israelites' failure to appreciate God's miracles in Egypt and their subsequent rebellion, despite His kindness.
Psalm 106:8	Positive	Gratitude	Low	Yet He saved them for the sake of His name, to make His power known.	Despite the Israelites' failure, God saves them to display His power and uphold His name, underscoring His mercy.
Psalm 106:9	Negative	Fear	Low	He rebuked the Red Sea, and it dried up; He led them through the depths as through a desert.	Describes God’s display of power in parting the Red Sea, guiding the Israelites on dry ground, traditionally associated with awe and fear of God's might.
Psalm 106:10	Positive	Relief	Medium	He saved them from the hand of the foe; He redeemed them from the grasp of the enemy.	Affirms God's deliverance of the Israelites from their enemies, emphasizing His role as Savior and Redeemer.
Psalm 106:11	Negative	Satisfaction	Medium	Waters covered their adversaries; not one of them survived.	Recounts the destruction of the Israelites' enemies, implying God's just retribution and the vindication of His people.
Psalm 106:12	Positive	Joy	Medium	Then they believed His promises and sang His praise.	The people's response to God's deliverance is belief and praise, highlighting a moment of faith and worship.
Psalm 106:13	Negative	Forgetfulness	High	But they soon forgot His works and did not wait for His counsel.	Indicts the Israelites for quickly forgetting God's deeds and not seeking His guidance, pointing to human fickleness.
Psalm 106:14	Negative	Greed	High	Their craving in the wilderness put God to the test in the desert.	Details the Israelites' intense desires in the wilderness, suggesting that their demands tested God's patience.
Psalm 106:15	Negative	Warning	Medium	He gave them what they asked for, but sent a wasting disease among them.	God answers the Israelites’ requests, but there are negative consequences, possibly highlighting the danger of desiring things outside of God's will.
Psalm 106:16	Negative	Envy	High	In the camp they envied Moses and Aaron, who was consecrated to the LORD.	The verse describes the Israelites' envy towards their leaders, indicating unrest and discord among the people.
Psalm 106:17	Negative	Terror	Low	The earth opened up and swallowed Dathan; it covered the assembly of Abiram.	References a specific judgment event, where rebellious individuals were swallowed by the earth, instilling fear and warning against rebellion.
Psalm 106:18	Negative	Horror	Low	Fire blazed through their company; a flame consumed the wicked.	Continues to recount God's judgment on the rebels, this time through fire, evoking imagery of divine retribution.
Psalm 106:19	Negative	Disdain	High	At Horeb they made a calf and worshiped an idol cast from metal.	The Israelites' idolatry at Horeb (Sinai) is noted with disapproval, highlighting their betrayal of God with a man-made idol.
Psalm 106:20	Negative	Contempt	High	They exchanged their Glory for the image of a bull that eats grass.	It emphasizes the absurdity of idolatry, exchanging the worship of God for an image representing a common animal.
Psalm 106:21	Negative	Forgetfulness	High	They forgot God their Savior, who had done great things in Egypt,	The verse accentuates the Israelites’ short memory and ingratitude, having forgotten the remarkable deeds of God that saved and sustained them.
Psalm 106:22	Negative	Indifference	Medium	Miracles in the land of Ham and wonders by the Red Sea.	Recalls the miraculous acts of God that went unappreciated by the Israelites, suggesting an attitude of indifference to God's interventions.
Psalm 106:23	Negative	Anger	High	Therefore He said He would destroy them—had not Moses, His chosen one, stood in the breach before Him to turn away His wrath from destroying them.	Relates God's intention to judge the Israelites for their faithlessness, but indicates Moses' intercession, which prevented God's full wrath.
