Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 22:0	Negative	Anguish	High	For the choirmaster; according to ”The Doe of the Dawn.“ A Psalm of David.	This introductory heading indicates that the Psalm is for the leader of the music and it might be following a tune known as ”The Doe of the Dawn.“ It is attributed to David.
Psalm 22:1	Negative	Despair	High	My God, my God, why have You forsaken me? Why are You so far from saving me, so far from the words of my groaning?	This verse expresses a deep sense of abandonment and is a cry to God, feeling distant from salvation and unheard in his suffering.
Psalm 22:2	Negative	Anguish	High	O my God, I cry by day, but You do not answer, and by night, but I find no rest.	The psalmist continues to describe the persistence of his cries for help and the silence that meets them, emphasizing his continuous suffering.
Psalm 22:3	Positive	Reverence	Medium	Yet You are holy, enthroned on the praises of Israel.	In contrast to the previous verses, the psalmist acknowledges God’s holiness and his rightful place receiving Israel‘s worship.
Psalm 22:4	Positive	Trust	Medium	In You our fathers trusted; they trusted and You delivered them.	The psalmist recalls the history of God’s faithfulness to the ancestors of Israel, acknowledging their trust and God‘s deliverance.
Psalm 22:5	Positive	Relief	Medium	To You they cried out and were saved; in You they trusted and were not disappointed.	The psalmist reinforces the motif of trust in God leading to salvation and not to disappointment, adding to the narrative of God’s faithfulness.
Psalm 22:6	Negative	Sorrow	Low	But I am a worm and not a man, scorned by mankind and despised by the people.	The psalmist expresses a deep sense of worthlessness and social rejection, comparing himself to a worm.
Psalm 22:7	Negative	Contempt	Low	All who see me mock me; they sneer and shake their heads:	The psalmist describes being mocked and ridiculed by onlookers, likely in the midst of his affliction.
Psalm 22:8	Negative	Mockery	Medium	”He trusts in the LORD; let the LORD deliver him; let Him rescue him, since he delights in Him.“	Those mocking the psalmist quote his trust in the Lord sarcastically, suggesting that if his trust is so great, God should rescue him.
Psalm 22:9	Positive	Gratitude	Low	Yet You brought me forth from the womb; You made me secure at my mother‘s breast.	The psalmist acknowledges God’s care and protection from the very beginning of his life.
Psalm 22:10	Positive	Dependence	Low	From birth I was cast upon You; from my mother‘s womb You have been my God.	The psalmist has been depending on God since birth, affirming a lifelong relationship with God.
Psalm 22:11	Negative	Plea	High	Be not far from me, for trouble is near and there is no one to help.	The psalmist urgently requests God’s presence, emphasizing his isolation and the immediacy of his need.
Psalm 22:12	Negative	Dread	Medium	Many bulls surround me; strong bulls of Bashan encircle me.	The psalmist uses imagery of powerful and threatening bulls from Bashan to describe the menacing presence of his adversaries.
Psalm 22:13	Negative	Terror	Medium	They open their mouths against me; lions that maul and roar.	The psalmist continues the imagery, likening his enemies to roaring and mauling lions, heightening the sense of danger.
Psalm 22:14	Negative	Agony	High	I am poured out like water, and all my bones are disjointed; my heart is like wax; it is melted within me.	The psalmist describes his physical and emotional state as one of total dissolution, with vivid imagery of melting and dislocation.
Psalm 22:15	Negative	Despondency	High	My strength is dried up like a potsherd, and my tongue clings to the roof of my mouth; You lay me in the dust of death.	He further describes his weakened state with metaphors of dryness and death, suggesting a proximity to the end of life.
Psalm 22:16	Negative	Fear	Medium	Dogs surround me; a band of evildoers encircles me; they have pierced my hands and my feet.	Enemies are depicted as aggressive dogs, and the psalmist describes wounds that are specific and intense.
Psalm 22:17	Negative	Shock	Low	I can count all my bones; people stare and gloat over me.	The emaciated state of the psalmist is highlighted, with onlookers gazing upon his suffering with a sense of morbid satisfaction.
Psalm 22:18	Negative	Indignation	Low	They divide my garments among them and cast lots for my clothing.	The psalmist feels violated as his enemies gamble for his clothing, adding insult to his injuries.
Psalm 22:19	Positive	Supplication	Medium	But You, O LORD, be not far off; O my Strength, come quickly to help me.	Amidst his suffering, the psalmist calls out for God‘s immediate assistance, referring to God as his source of strength.
Psalm 22:20	Negative	Urgency	High	Deliver my soul from the sword, my precious life from the power of the dog.	The psalmist pleads for rescue from mortal danger, describing his life as precious and in need of salvation.
Psalm 22:21	Positive	Hope	Medium	Rescue me from the mouth of the lions; save me from the horns of the wild oxen.	The plea for deliverance continues, with hope that God will save him from these powerful threats.
Psalm 22:22	Positive	Praise	Low	I will declare Your name to my brothers; in the assembly I will praise You.	The tone shifts to one of commitment to praise and proclamation among the community, anticipating deliverance.
Psalm 22:23	Positive	Joy	Low	You who fear the LORD, praise Him! All you descendants of Jacob, honor Him! Revere Him, all you descendants of Israel!	The psalmist invites others who revere God to join in praising and honoring Him, broadening the scope beyond personal deliverance.
Psalm 22:24	Positive	Relief	Medium	For He has not despised or disdained the suffering of the afflicted; He has not hidden His face from him, but has listened to his cry for help.	This verse affirms God’s attentiveness and concern for the afflicted, contradicting the earlier feelings of abandonment.
Psalm 22:25	Positive	Gratitude	Low	From You comes my praise in the great assembly; before those who fear You, I will fulfill my vows.	The psalmist expresses gratitude and a vow to praise God publicly for His goodness and faithfulness.
Psalm 22:26	Positive	Satisfaction	Low	The poor will eat and be satisfied; those who seek the LORD will praise Him. May your hearts live forever!	The verse predicts material and spiritual provision for the needy and a call for everlasting praise from God-seekers.
Psalm 22:27	Positive	Unity	Low	All the ends of the earth will remember and turn to the LORD, and all the families of the nations will bow down before Him.	The psalmist proclaims a vision of global recognition of and reverence for God, hinting at a universal scope of God‘s lordship.
Psalm 22:28	Positive	Sovereignty	Low	For dominion belongs to the LORD and He rules over the nations.	God’s ultimate authority and governance over all nations is declared, affirming His supremacy.
Psalm 22:29	Positive	Reverence	Low	All the rich of the earth will feast and worship; all who go down to the dust will kneel before Him—even he who cannot keep his soul alive.	The psalmist envisions universal worship, including both the wealthy and the destitute, recognizing that ultimately all life is dependent on God.
Psalm 22:30	Positive	Legacy	Low	A seed will serve Him; it will be told of the Lord to the next generation.	The legacy of serving and proclaiming God is assured to carry on to subsequent generations.
Psalm 22:31	Positive	Proclamation	Low	They will come and declare His righteousness to a people yet unborn—that He has done it.	The final verse captures the forward-looking aspect of God‘s works and righteousness being declared to future peoples, concluding with the confident affirmation that God has acted.
