Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 118:1	Positive	Joy	Medium	Give thanks to the LORD, for He is good; His loving devotion endures forever.	This verse sets the tone for the entire Psalm, expressing gratitude and emphasizing God's enduring love.
Psalm 118:2	Positive	Gratitude	High	Let Israel say, “His loving devotion endures forever.”	The collective affirmation of God's enduring love by the nation of Israel.
Psalm 118:3	Positive	Gratitude	High	Let the house of Aaron say, “His loving devotion endures forever.”	The priestly line of Aaron echoes the sentiment of enduring divine love.
Psalm 118:4	Positive	Gratitude	High	Let those who fear the LORD say, “His loving devotion endures forever.”	A call for all God-fearing individuals to join in the proclamation of God's enduring love.
Psalm 118:5	Positive	Relief	Medium	In my distress I called to the LORD, and He answered and set me free.	Testimony of a personal experience with God's deliverance in difficult times.
Psalm 118:6	Positive	Confidence	High	The LORD is with me; I will not be afraid. What can man do to me?	Expresses trust in God's presence, reducing fear of any human threat.
Psalm 118:7	Positive	Confidence	High	The LORD is with me; He is my helper. I will look in triumph on my enemies.	Affirmation of God as an ally, leading to victory over enemies.
Psalm 118:8	Positive	Wisdom	Medium	It is better to take refuge in the LORD than to trust in man.	A piece of wisdom advising reliance on God over humans.
Psalm 118:9	Positive	Wisdom	Medium	It is better to take refuge in the LORD than to trust in princes.	A reinforcement of the previous verse, emphasizing trust in God over earthly rulers.
Psalm 118:10	Negative	Defiance	High	All the nations surrounded me, but in the name of the LORD I cut them off.	Recollection of being besieged by enemies and overcoming them through divine empowerment.
Psalm 118:11	Negative	Defiance	High	They surrounded me on every side, but in the name of the LORD I cut them off.	Re-emphasizes the surrounding threats and the successful overcoming through God's name.
Psalm 118:12	Negative	Defiance	High	They swarmed around me like bees, but they were extinguished like burning thorns; in the name of the LORD I cut them off.	A vivid simile comparing enemies to bees, and the swift defeat they met by invoking God.
Psalm 118:13	Negative	Adversity	High	I was pushed so hard I was falling, but the LORD helped me.	Describes a personal moment of near defeat which was averted by God's intervention.
Psalm 118:14	Positive	Elation	High	The LORD is my strength and my song, and He has become my salvation.	A joyful statement that credits God as the source of personal strength and deliverance.
Psalm 118:15	Positive	Joy	Medium	There are shouts of joy and victory in the tents of the righteous: “The right hand of the LORD performs mightily.	Indicates a celebration among the righteous, acknowledging God's powerful deeds.
Psalm 118:16	Positive	Admiration	High	The right hand of the LORD is exalted; the right hand of the LORD performs mightily.	An exultation of God's power and actions as being lofty and mighty.
Psalm 118:17	Positive	Optimism	High	I will not die, but I will live and proclaim what the LORD has done.	A declaration of survival and commitment to testifying to God's works.
Psalm 118:18	Negative	Chastening	Medium	The LORD has disciplined me severely, but He has not given me over to death.	Acknowledgment of harsh divine discipline countered by mercy.
Psalm 118:19	Positive	Anticipation	Medium	Open to me the gates of righteousness; I will enter and give thanks to the LORD.	A request for entry into a righteous state or place in order to express gratitude.
Psalm 118:20	Positive	Assurance	Medium	This is the gate of the LORD; the righteous shall enter through it.	A confirmation that the righteous have access to the Lord's domain.
Psalm 118:21	Positive	Gratitude	High	I will give You thanks, for You have answered me, and You have become my salvation.	Pledge of gratitude for personal salvation experienced.
Psalm 118:22	Neutral	Revelation	Medium	The stone the builders rejected has become the cornerstone.	A prophetic revelation, later attributed to Christ, about something once dismissed becoming foundational.
Psalm 118:23	Positive	Wonder	Medium	This is from the LORD, and it is marvelous in our eyes.	A joyful acknowledgment of God's work as wondrous.
Psalm 118:24	Positive	Jubilation	High	This is the day the LORD has made; we will rejoice and be glad in it.	An invitation to celebrate the present, as a gift from God.
Psalm 118:25	Neutral	Petition	Medium	O LORD, save us; O LORD, grant us success.	A plea for salvation and success, recognizing dependence on God.
Psalm 118:26	Positive	Blessing	Medium	Blessed is he who comes in the name of the LORD. From the house of the LORD we bless you.	A blessing invoked on those who approach in God's name, suggesting a liturgical setting.
Psalm 118:27	Positive	Exultation	Medium	The LORD is God and has made His light shine upon us. Bind the festal sacrifice with cords to the horns of the altar.	Recognition of God's favor and a call to prepare ceremonial offerings.
Psalm 118:28	Positive	Devotion	High	You are my God, and I will give You thanks. You are my God; I will exalt You.	A personal expression of devotion, punctuated with grateful worship.
Psalm 118:29	Positive	Joy	Medium	Give thanks to the LORD, for He is good; His loving devotion endures forever.	Echoing the first verse, a closing note of gratitude and acknowledgment of God's everlasting love.
