Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 146:1	Positive	Joy	Medium	Praise the LORD. Praise the LORD, O my soul.	The psalmist begins with a call to praise, addressing himself.
Psalm 146:2	Positive	Joy	Medium	I will praise the LORD all my life; I will sing praises to my God while I have my being.	The psalmist commits to lifelong praise of God.
Psalm 146:3	Neutral	-	-	Do not put your trust in princes, in mortal man, who cannot save.	A warning against misplaced trust in human power.
Psalm 146:4	Neutral	-	-	When his spirit departs, he returns to the ground; on that very day his plans come to nothing.	Reflection on the mortality of humans and the futility of their plans without God.
Psalm 146:5	Positive	Joy	High	Blessed is he whose help is the God of Jacob, whose hope is in the LORD his God.	A declaration of the happiness found in trusting God.
Psalm 146:6	Positive	Trust	Medium	He is the Maker of heaven and earth, the sea, and everything in them—He remains faithful forever.	Acknowledgment of God’s creation and everlasting faithfulness.
Psalm 146:7	Positive	Trust	Medium	He upholds the cause of the oppressed and gives food to the hungry. The LORD sets prisoners free,	Recognition of God‘s actions on behalf of the needy.
Psalm 146:8	Positive	Hope	Medium	The LORD gives sight to the blind, the LORD lifts up those who are bowed down, the LORD loves the righteous.	Praise for God’s restorative and supportive actions.
Psalm 146:9	Positive	Trust	Medium	The LORD watches over the foreigner and sustains the fatherless and the widow, but He frustrates the ways of the wicked.	Contrasting how God supports the vulnerable and opposes the wicked.
Psalm 146:10	Positive	Joy	High	The LORD reigns forever, your God, O Zion, for all generations. Praise the LORD!	A triumphant conclusion affirming God‘s eternal reign and a final call to praise.
