Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 21:1	Positive	Joy	Medium	O LORD, the king rejoices in Your strength. How greatly he exults in Your salvation!	This verse expresses a king's joy and jubilation in God's strength and salvation, setting the tone for the entire Psalm as one of thanksgiving and praise for God's blessings upon the king.
Psalm 21:2	Positive	Gratitude	Medium	You have granted him his heart's desire and have not withheld the request of his lips. Selah	This verse emphasizes God's generosity and faithfulness in granting the king's requests, implying a close relationship between the king and God.
Psalm 21:3	Positive	Satisfaction	High	You welcomed him with rich blessings; You placed a crown of pure gold on his head.	The welcoming of the king with rich blessings and the crowning are symbols of honor, authority, and the fruition of God's promise to the king.
Psalm 21:4	Positive	Gratitude	Medium	He asked You for life, and You gave it to him— length of days, forever and ever.	The granting of life and long reign is depicted as a blessing from God, reflecting the king's dependence on God for life itself.
Psalm 21:5	Positive	Pride	High	His glory is great through Your salvation; splendor and majesty You bestow on him.	This portrays the king's glory and honor as being a result of God's salvation, indicating that all his victories and accomplishments are attributed to God's favor.
Psalm 21:6	Positive	Joy	High	For You grant him blessings forever; You cheer him with joy in Your presence.	It suggests an ongoing relationship of favor and joy between the king and God, highlighting the eternal aspect of God’s blessings.
Psalm 21:7	Positive	Trust	Medium	For the king trusts in the LORD; through the steadfast love of the Most High, he will not be shaken.	This verse contrasts the trust the king has in the Lord with the transient nature of human power, suggesting that his security is due to God’s love.
Psalm 21:8	Negative	Anticipation	Medium	Your hand will apprehend all Your enemies; Your right hand will seize those who hate You.	Here the focus shifts from the blessings of the king to the impending judgment upon his enemies, implying God's protection and justice.
Psalm 21:9	Negative	Wrath	High	You will make them like a fiery furnace when You appear; the LORD will swallow them up in His wrath, and fire will devour them.	The verse describes a future judgment with vivid imagery of destruction by fire, signifying God’s power to annihilate opposition.
Psalm 21:10	Negative	Anguish	Medium	Their offspring You will cut off from the earth, and their descendants from among the sons of men.	It continues the theme of judgment upon the enemies by depicting the eradication of their legacy, which is a severe punishment in a culture that values lineage.
Psalm 21:11	Negative	Malice	Low	Though they intended evil against You, though they devised a plot, they will not succeed.	The verse notes the futility of the enemies' plans against God, reiterating the theme of divine protection for the king.
Psalm 21:12	Negative	Defeat	High	For You will make them turn their back; You will ready Your bowstring against their faces.	It presents a graphic image of the enemies in retreat, with God as the warrior preparing to strike, symbolizing certain defeat for the king's adversaries.
Psalm 21:13	Positive	Joy	High	Be exalted, O LORD, in Your strength; we will sing and praise Your might.	The Psalm ends with a call to praise God for His strength and might, suggesting a communal celebration of God's protection and blessings upon the king and, by extension, the people.
