Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 91:1	Positive	Calmness	Medium	He who dwells in the shelter of the Most High will abide in the shadow of the Almighty.	The psalmist expresses a serene trust in God's protection, comparing it to a sheltering presence.
Psalm 91:2	Positive	Trust	High	I will say to the LORD, “My refuge and my fortress, my God, in whom I trust.”	A declaration of trust in God, using metaphors of a refuge and fortress to describe God's protective qualities.
Psalm 91:3	Positive	Assurance	Medium	Surely He will deliver you from the snare of the fowler, and from the deadly pestilence.	An assurance of God's deliverance from hidden dangers and diseases, likening dangers to a hunter's snare.
Psalm 91:4	Positive	Security	High	He will cover you with His feathers; under His wings you will find refuge; His faithfulness will be your shield and rampart.	Symbolic imagery of God as a bird providing shelter with its feathers, emphasizing God's faithfulness as a form of protection.
Psalm 91:5	Positive	Confidence	Medium	You will not fear the terror of the night, nor the arrow that flies by day,	Conveying a sense of safety that nullifies fear of night terrors or daytime attacks.
Psalm 91:6	Positive	Confidence	Medium	nor the pestilence that stalks in darkness, nor the destruction that lays waste at noon.	Expanding upon the previous verse, highlighting protection against threats regardless of the time of day.
Psalm 91:7	Positive	Confidence	High	A thousand may fall at your side, ten thousand at your right hand, but it will not come near you.	Emphasizing God's protective power in stark contrast to the fate of others, suggesting a divine selection of protection.
Psalm 91:8	Positive	Observation	Medium	You will only look on with your eyes and see the recompense of the wicked.	Providing a sense of divine justice, where the observer remains untouched while witnessing the consequences befalling the wicked.
Psalm 91:9	Positive	Security	High	Because you have made the LORD your dwelling—my refuge, the Most High—	A reiteration of trust and the resolve to remain in God's presence, which provides safety and refuge.
Psalm 91:10	Positive	Assurance	High	no evil will befall you, no plague will approach your tent.	An unequivocal assurance that no harm will come to those who dwell in God’s presence.
Psalm 91:11	Positive	Reassurance	High	For He will command His angels concerning you to guard you in all your ways;	An assurance of angelic protection on God's orders, providing a constant divine guard.
Psalm 91:12	Positive	Support	Medium	they will lift you up in their hands, so that you will not strike your foot against a stone.	This verse furthers the promise of protection, with a very personal and attentive care to avoid even minor harm.
Psalm 91:13	Positive	Authority	High	You will tread on the lion and cobra; you will trample the young lion and serpent.	Symbolizing triumph over powerful and dangerous forces, suggesting a spiritual authority granted to the believer.
Psalm 91:14	Positive	Devotion	High	“Because he loves Me,” says the LORD, “I will deliver him; I will set him securely on high, because he has known My name.”	God's response to the believer's love and knowledge of God, promising deliverance and a place of safety.
Psalm 91:15	Positive	Assurance	High	He will call upon Me, and I will answer him; I will be with him in trouble. I will deliver him and honor him.	God's promise to answer the believer's call, offering presence in times of trouble and deliverance.
Psalm 91:16	Positive	Promise	High	With long life I will satisfy him and show him My salvation.	A concluding promise of a long life and the ultimate gift of salvation as a testament to God's favor and protection.
