Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 26:1	Positive	Trust	Medium	Vindicate me, O LORD, for I have walked with integrity; I have trusted in the LORD without wavering.	David proclaims his innocence and steadfast faith in the Lord, asking to be judged according to his righteousness.
Psalm 26:2	Neutral	Request	Low	Examine me, O LORD, and try me; test my heart and my mind.	David invites the Lord to scrutinize him, an act of transparency and confidence in his devotion.
Psalm 26:3	Positive	Love	Medium	For Your loving devotion is before my eyes, and I have walked in Your truth.	David acknowledges his commitment to God’s steadfast love and truth, which has guided his actions.
Psalm 26:4	Negative	Disgust	Low	I do not sit with deceitful men, nor do I keep company with hypocrites.	David distances himself from deceitful and hypocritical individuals, emphasizing his commitment to integrity.
Psalm 26:5	Negative	Disgust	Medium	I hate the assembly of evildoers, and I refuse to sit with the wicked.	David expresses strong aversion to the gatherings of those who do evil, further highlighting his dedication to righteousness.
Psalm 26:6	Positive	Cleansing	Low	I wash my hands in innocence and go around Your altar, O LORD,	David symbolically performs a ritual of cleansing to demonstrate his innocence as he approaches God‘s place of worship.
Psalm 26:7	Positive	Praise	Medium	proclaiming aloud Your praise and telling of all Your wonderful deeds.	David publicly declares his praise for the Lord and shares about the wonders God has performed.
Psalm 26:8	Positive	Longing	Medium	O LORD, I love the house where You dwell, the place where Your glory resides.	David expresses his deep affection for God’s presence and the sanctuary that houses His divine glory.
Psalm 26:9	Negative	Fear	Low	Do not take my soul away with sinners, nor my life with men of bloodshed,	David pleads with God not to be counted among the wicked or those who commit violence, indicating his desire for moral distinction.
Psalm 26:10	Negative	Contempt	Low	in whose hands are wicked schemes, whose right hands are full of bribes.	David points out the corrupt practices of the wicked, distancing himself from their actions.
Psalm 26:11	Positive	Resolution	High	But I will walk with integrity; redeem me and be merciful to me.	David reaffirms his commitment to walk in integrity and requests redemption and mercy from the Lord.
Psalm 26:12	Positive	Confidence	Medium	My feet stand on level ground; in the great congregation I will bless the LORD.	David expresses confidence in his right standing, indicating that he is prepared to worship and bless the Lord publicly.
