Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 45:0	Positive	Admiration	Medium	My heart is stirred by a noble theme as I compose my verses for the king; my tongue is the pen of a skillful writer.	The introduction to the Psalm; the psalmist expresses inspiration to write about a noble theme, possibly reflecting royal wedding festivities or the ideal king.
Psalm 45:1	Positive	Adoration	High	You are the most handsome of men; grace flows from your lips. Therefore God has blessed you forever.	A poetic praise of the king's royal beauty and eloquence, perhaps symbolic of divine blessing on his reign.
Psalm 45:2	Positive	Joy	High	Gird your sword on your side, O mighty one; clothe yourself with splendor and majesty.	A call to the king to arm himself, symbolizing strength and glory, in preparation for a noble task.
Psalm 45:3	Positive	Anticipation	High	In Your majesty, ride forth victoriously for the cause of truth and humility and justice; may Your right hand show Your awesome deeds.	The psalmist urges the king to champion righteousness and justice, implying that the king's endeavors are aligned with divine principles.
Psalm 45:4	Positive	Approval	Medium	Your arrows pierce the hearts of the king’s enemies; nations fall beneath your feet.	Describes the king’s military prowess metaphorically; the arrows may symbolize the king’s ability to subdue his enemies graciously.
Psalm 45:5	Positive	Reverence	High	Your throne, O God, endures forever and ever, and justice is the scepter of Your kingdom.	Acknowledges the eternal nature of God's rule and the foundational role of justice in His kingdom, could be interpreted prophetically of the Messiah.
Psalm 45:6	Positive	Resolve	Medium	You love righteousness and hate wickedness; therefore God, Your God, has anointed you with the oil of joy above your peers.	Extols the virtues of the king, highlighting his commitment to righteousness and resulting divine favor.
Psalm 45:7	Positive	Anticipation	High	All your robes are fragrant with myrrh and aloes and cassia; from palaces adorned with ivory, the music of strings makes you glad.	A vivid portrayal of a regal and joyful setting, the fragrance and music evoking images of wealth and happiness.
Psalm 45:8	Positive	Happiness	Medium	Daughters of kings are among your honored women; the queen stands at your right hand, arrayed in Ophir’s gold.	Describes the noble company surrounding the king, signifying honor and prosperity.
Psalm 45:9	Neutral	Contemplation	Medium	Listen, O daughter, consider and incline your ear: Forget your people and your father’s house,	Advises the bride (possibly the queen) to leave her past allegiances for new loyalty to the king, a common practice in royal marriages.
Psalm 45:10	Positive	Desire	Medium	and the king will desire your beauty. Since he is your lord, bow to him.	Encourages the bride to honor the king, assuring her of the king's admiration for her.
Psalm 45:11	Positive	Longing	Medium	The Daughter of Tyre will come with a gift; the wealthiest of people will seek your favor.	Foresees the bride commanding respect and tribute from distant lands and wealthy individuals.
Psalm 45:12	Positive	Euphoria	High	All glorious is the princess within her chamber; her gown is interwoven with gold.	Describes the bride's resplendent appearance with opulence, signifying her royal stature and preparations for the wedding.
Psalm 45:13	Positive	Admiration	Medium	In embroidered garments she is led to the king; her virgin companions follow her— those brought to be with her.	A processional image of the bride and her attendants, richly attired, presenting a scene of tradition and ceremony.
Psalm 45:14	Positive	Joy	Medium	Led in with joy and gladness, they enter the palace of the king.	Showcases the celebratory mood and honor as the bride and her party arrive at the king’s residence.
Psalm 45:15	Neutral	Reflection	Medium	Your sons will take the place of your fathers; you will make them princes throughout the land.	A prophetic blessing for the continuity of the king's legacy, promising enduring influence and rulership.
Psalm 45:16	Positive	Commitment	Medium	I will commemorate your name through all generations; therefore, the nations will praise you forever and ever.	A dedication to preserve the king's name eternally, suggesting lasting renown and possibly pointing towards a greater, everlasting king.
Psalm 45:17	Positive	Admiration	Medium	Your throne, O God, endures forever and ever, and justice is the scepter of your kingdom. (Note: same as verse 6)	Acknowledges the timeless sovereignty of God's rule, underlining the everlasting reign through the application of justice as its core principle.
