Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 7:0	Neutral	Neutral	-	A Shiggaion of David, which he sang to the LORD concerning Cush, a Benjamite.	An introduction providing context, identifying the type of psalm (Shiggaion), the author (David), and the circumstance (concerning Cush, a Benjamite).
Psalm 7:1	Negative	Anxiety	Medium	O LORD my God, I take refuge in You; save me and deliver me from all my pursuers,	David appeals to God for protection, expressing a sense of being pursued or threatened.
Psalm 7:2	Negative	Fear	Medium	or they will tear me like a lion and rip me to pieces with no one to rescue me.	An expression of fear, illustrating the peril David feels through vivid, violent imagery.
Psalm 7:3	Neutral	Neutral	-	O LORD my God, if I have done this, if there is injustice on my hands,	David begins a self-examination, questioning before God if he has committed the wrong he is accused of.
Psalm 7:4	Negative	Regret	Low	if I have rewarded my ally with evil, if I have plundered my foe without cause,	David continues his reflection, considering actions that would be morally wrong, and unjust.
Psalm 7:5	Negative	Fear	Medium	then let my enemy pursue me and overtake me; let him trample my life to the ground and lay my honor in the dust. Selah	A prayer for karmic justice if he is guilty, suggesting David is willing to suffer if he has indeed done wrong.
Psalm 7:6	Positive	Confidence	Medium	Arise, O LORD, in Your anger; rise up against the fury of my enemies. Awake, my God; decree justice.	David calls for God to intervene with righteous anger and to bring justice against his enemies.
Psalm 7:7	Positive	Anticipation	Medium	Let the assembled peoples gather around You; take Your seat over them on high.	David appeals to God as the ultimate judge, envisioning a congregation witnessing God’s judgement.
Psalm 7:8	Positive	Expectation	Medium	The LORD judges the peoples; vindicate me, O LORD, according to my righteousness and integrity.	David expresses his trust in the LORD‘s judgement and asks to be judged by his own righteousness and integrity.
Psalm 7:9	Positive	Confidence	Medium	Let the evil of the wicked come to an end, but establish the righteous, for it is You who examines the minds and hearts, O righteous God.	David prays for God to put an end to wickedness and to vindicate the righteous, acknowledging God’s insight into inner thoughts and intentions.
Psalm 7:10	Positive	Trust	High	My shield is with God, who saves the upright in heart.	David declares his trust in God as his protector, characterising himself as upright in heart.
Psalm 7:11	Positive	Assertion	Medium	God is a righteous judge and a God who feels indignation every day.	David affirms God‘s nature as a just judge who is not indifferent to evil.
Psalm 7:12	Neutral	Neutral	Low	If one does not repent, He will sharpen His sword; He has bent His bow and made it ready.	The verse warns of God’s preparedness to judge, implicitly instructing the need for repentance.
Psalm 7:13	Negative	Threat	Medium	He has prepared His deadly weapons; He ordains His arrows with flames.	The language used here further emphasizes the severity of God‘s judgment upon the wicked.
Psalm 7:14	Negative	Anger	Medium	Behold, the wicked man is pregnant with evil, he conceives trouble and gives birth to deceit.	David uses metaphorical language to depict the nature of the wicked as inherently deceptive and evil.
Psalm 7:15	Negative	Pity	Medium	He has dug a pit and hollowed it out; he has fallen into the hole he has made.	The imagery extends to the consequences of evil actions, suggesting that the wicked ultimately entrap themselves.
Psalm 7:16	Negative	Irony	Medium	His trouble recoils on himself, and his violence falls on his own head.	The principle of retribution is at work here, where the harm intended by the wicked is turned back on themselves.
Psalm 7:17	Positive	Joy	High	I will thank the LORD for His righteousness; I will sing the praises of the name of the LORD Most High.	A conclusion of praise, where David commits to thanking and worshipping the LORD for His just and righteous nature.
